>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     438      0.3586   0.0001759
     439      0.3568   0.0001751
     440      0.3551   0.0001742
     441      0.3534   0.0001734
     442      0.3517   0.0001726
     443        0.35   0.0001717
     444      0.3483   0.0001709
     445      0.3466   0.0001701
     446       0.345   0.0001693
     447      0.3433   0.0001684
     448      0.3417   0.0001676
     449        0.34   0.0001668
     450      0.3384    0.000166
     451      0.3367   0.0001652
     452      0.3351   0.0001644
     453      0.3335   0.0001636
     454      0.3319   0.0001628
     455      0.3303   0.0001621
     456      0.3287   0.0001613
     457      0.3271   0.0001605
     458      0.3256   0.0001597
     459       0.324    0.000159
     460      0.3224   0.0001582
     461      0.3209   0.0001574
     462      0.3193   0.0001567
     463      0.3178   0.0001559
     464      0.3163   0.0001552
     465      0.3147   0.0001544
     466      0.3132   0.0001537
     467      0.3117   0.0001529
     468      0.3102   0.0001522
     469      0.3087   0.0001515
     470      0.3072   0.0001507
     471      0.3058     0.00015
     472      0.3043   0.0001493
     473      0.3028   0.0001486
     474      0.3014   0.0001479
     475      0.2999   0.0001471
     476      0.2985   0.0001464
     477       0.297   0.0001457
     478      0.2956    0.000145
     479      0.2942   0.0001443
     480      0.2928   0.0001436
     481      0.2913   0.0001429
     482      0.2899   0.0001423
     483      0.2885   0.0001416
     484      0.2872   0.0001409
     485      0.2858   0.0001402
     486      0.2844   0.0001395
     487       0.283   0.0001389
     488      0.2817   0.0001382
     489      0.2803   0.0001375
     490       0.279   0.0001369
     491      0.2776   0.0001362
     492      0.2763   0.0001356
     493       0.275   0.0001349
     494      0.2736   0.0001343
     495      0.2723   0.0001336
     496       0.271    0.000133
     497      0.2697   0.0001323
     498      0.2684   0.0001317
     499      0.2671   0.0001311
     500      0.2658   0.0001304
     501      0.2645   0.0001298
     502      0.2633   0.0001292
     503       0.262   0.0001285
     504      0.2607   0.0001279
     505      0.2595   0.0001273
     506      0.2582   0.0001267
     507       0.257   0.0001261
     508      0.2557   0.0001255
     509      0.2545   0.0001249
     510      0.2533   0.0001243
     511      0.2521   0.0001237
     512      0.2509   0.0001231
     513      0.2496   0.0001225
     514      0.2484   0.0001219
     515      0.2472   0.0001213
     516      0.2461   0.0001207
     517      0.2449   0.0001201
     518      0.2437   0.0001196
     519      0.2425    0.000119
     520      0.2414   0.0001184
     521      0.2402   0.0001178
     522       0.239   0.0001173
     523      0.2379   0.0001167
     524      0.2367   0.0001162
     525      0.2356   0.0001156
     526      0.2345    0.000115
     527      0.2333   0.0001145
     528      0.2322   0.0001139
     529      0.2311   0.0001134
     530        0.23   0.0001128
     531      0.2289   0.0001123
     532      0.2278   0.0001118
     533      0.2267   0.0001112
     534      0.2256   0.0001107
     535      0.2245   0.0001101
     536      0.2234   0.0001096
     537      0.2223   0.0001091
     538      0.2213   0.0001086
     539      0.2202    0.000108
     540      0.2191   0.0001075
     541      0.2181    0.000107
     542       0.217   0.0001065
     543       0.216    0.000106
     544       0.215   0.0001055
     545      0.2139    0.000105
     546      0.2129   0.0001045
     547      0.2119   0.0001039
     548      0.2108   0.0001034
     549      0.2098    0.000103
     550      0.2088   0.0001025
     551      0.2078    0.000102
     552      0.2068   0.0001015
     553      0.2058    0.000101
     554      0.2048   0.0001005
     555      0.2038      0.0001
     556      0.2029   9.953e-05
     557      0.2019   9.905e-05
     558      0.2009   9.857e-05
     559      0.1999    9.81e-05
     560       0.199   9.763e-05
     561       0.198   9.716e-05
     562      0.1971   9.669e-05
     563      0.1961   9.622e-05
     564      0.1952   9.576e-05
     565      0.1942    9.53e-05
     566      0.1933   9.484e-05
     567      0.1924   9.438e-05
     568      0.1914   9.393e-05
     569      0.1905   9.348e-05
     570      0.1896   9.303e-05
     571      0.1887   9.258e-05
     572      0.1878   9.213e-05
     573      0.1869   9.169e-05
     574       0.186   9.125e-05
     575      0.1851   9.081e-05
     576      0.1842   9.037e-05
     577      0.1833   8.994e-05
     578      0.1824    8.95e-05
     579      0.1815   8.907e-05
     580      0.1807   8.864e-05
     581      0.1798   8.822e-05
     582      0.1789   8.779e-05
     583      0.1781   8.737e-05
     584      0.1772   8.695e-05
     585      0.1764   8.653e-05
     586      0.1755   8.611e-05
