>> gauss_seidel_poisson_1d
22-Nov-2011 13:09:15

GAUSS_SEIDEL_POISSON_1D:
  Use Gauss-Seidel iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     795    0.001425   1.392e-06
     796    0.001411   1.378e-06
     797    0.001397   1.365e-06
     798    0.001384   1.352e-06
     799    0.001371   1.339e-06
     800    0.001357   1.326e-06
     801    0.001344   1.313e-06
     802    0.001331   1.301e-06
     803    0.001319   1.288e-06
     804    0.001306   1.276e-06
     805    0.001293   1.264e-06
     806    0.001281   1.251e-06
     807    0.001269   1.239e-06
     808    0.001256   1.227e-06
     809    0.001244   1.216e-06
     810    0.001232   1.204e-06
     811    0.001221   1.192e-06
     812    0.001209   1.181e-06
     813    0.001197    1.17e-06
     814    0.001186   1.158e-06
     815    0.001174   1.147e-06
     816    0.001163   1.136e-06
     817    0.001152   1.125e-06
     818    0.001141   1.115e-06
     819     0.00113   1.104e-06
     820    0.001119   1.093e-06
     821    0.001108   1.083e-06
     822    0.001098   1.072e-06
     823    0.001087   1.062e-06
     824    0.001077   1.052e-06
     825    0.001066   1.042e-06
     826    0.001056   1.032e-06
     827    0.001046   1.022e-06
     828    0.001036   1.012e-06
     829    0.001026   1.002e-06
     830    0.001016   9.926e-07
     831    0.001006   9.831e-07
     832   0.0009966   9.736e-07
     833   0.0009871   9.643e-07
     834   0.0009776    9.55e-07
     835   0.0009682   9.458e-07
     836   0.0009589   9.367e-07
     837   0.0009497   9.277e-07
     838   0.0009406   9.188e-07
     839   0.0009315     9.1e-07
     840   0.0009226   9.013e-07
     841   0.0009137   8.926e-07
     842   0.0009049    8.84e-07
     843   0.0008962   8.755e-07
     844   0.0008876   8.671e-07
     845   0.0008791   8.588e-07
     846   0.0008706   8.505e-07
     847   0.0008623   8.424e-07
     848    0.000854   8.343e-07
     849   0.0008458   8.263e-07
     850   0.0008377   8.183e-07
     851   0.0008296   8.105e-07
     852   0.0008216   8.027e-07
     853   0.0008138    7.95e-07
     854   0.0008059   7.873e-07
     855   0.0007982   7.798e-07
     856   0.0007905   7.723e-07
     857   0.0007829   7.648e-07
     858   0.0007754   7.575e-07
     859    0.000768   7.502e-07
     860   0.0007606    7.43e-07
     861   0.0007533   7.359e-07
     862    0.000746   7.288e-07
     863   0.0007389   7.218e-07
     864   0.0007318   7.149e-07
     865   0.0007247    7.08e-07
     866   0.0007178   7.012e-07
     867   0.0007109   6.945e-07
     868   0.0007041   6.878e-07
     869   0.0006973   6.812e-07
     870   0.0006906   6.746e-07
     871    0.000684   6.682e-07
     872   0.0006774   6.617e-07
     873   0.0006709   6.554e-07
     874   0.0006644   6.491e-07
     875    0.000658   6.428e-07
     876   0.0006517   6.367e-07
     877   0.0006455   6.306e-07
     878   0.0006393   6.245e-07
     879   0.0006331   6.185e-07
     880    0.000627   6.126e-07
     881    0.000621   6.067e-07
     882    0.000615   6.008e-07
     883   0.0006091   5.951e-07
     884   0.0006033   5.893e-07
     885   0.0005975   5.837e-07
     886   0.0005917   5.781e-07
     887   0.0005861   5.725e-07
     888   0.0005804    5.67e-07
     889   0.0005749   5.616e-07
